ds,return_pct,IQR,STL_IQR,ModZscore,methods_count
2019-05-09,-0.30214249424966866,0,0,0,0
2019-05-10,0.37202972597878414,0,0,0,0
2019-05-13,-2.413055719884427,0,0,0,0
2019-05-14,0.8015944543135589,0,0,0,0
2019-05-15,0.583897507464215,0,0,0,0
2019-05-16,0.8895287120600504,0,0,0,0
2019-05-17,-0.5837333350761975,0,0,0,0
2019-05-20,-0.6749377915387988,0,0,0,0
2019-05-21,0.8495835590448308,0,0,0,0
2019-05-22,-0.2824396230649451,0,0,0,0
2019-05-23,-1.191414994527018,0,0,0,0
2019-05-24,0.13535590072402126,0,0,0,0
2019-05-28,-0.8375676922946718,0,0,0,0
2019-05-29,-0.6911912256811314,0,0,0,0
2019-05-30,0.20984713906617714,0,0,0,0
2019-05-31,-1.319537280847849,0,0,0,0
2019-06-03,-0.27652403144732274,0,0,0,0
2019-06-04,2.1432370568193138,0,0,0,0
2019-06-05,0.8161854781411959,0,0,0,0
2019-06-06,0.6135586748687638,0,0,0,0
2019-06-07,1.049769746289475,0,0,0,0
2019-06-10,0.46600444669098184,0,0,0,0
2019-06-11,-0.034988023558091275,0,0,0,0
2019-06-12,-0.20375791387226005,0,0,0,0
2019-06-13,0.40973819126681743,0,0,0,0
2019-06-14,-0.1611511904139773,0,0,0,0
2019-06-17,0.09317492412306283,0,0,0,0
2019-06-18,0.9717399870633026,0,0,0,0
2019-06-19,0.2985163546397107,0,0,0,0
2019-06-20,0.9472185190685156,0,0,0,0
2019-06-21,-0.12592227925193322,0,0,0,0
2019-06-24,-0.17318870104667816,0,0,0,0
2019-06-25,-0.9496397343734198,0,0,0,0
2019-06-26,-0.12339337557076835,0,0,0,0
2019-06-27,0.3823175554131808,0,0,0,0
2019-06-28,0.5757452627909831,0,0,0,0
2019-07-01,0.7672301032188189,0,0,0,0
2019-07-02,0.2928125887423194,0,0,0,0
2019-07-03,0.7672378673070135,0,0,0,0
2019-07-05,-0.180590159841032,0,0,0,0
2019-07-08,-0.48354444248415174,0,0,0,0
2019-07-09,0.12365569653400854,0,0,0,0
2019-07-10,0.45106896075925995,0,0,0,0
2019-07-11,0.22852267383599578,0,0,0,0
2019-07-12,0.4620174547884881,0,0,0,0
2019-07-15,0.017586919155743175,0,0,0,0
2019-07-16,-0.3403778522185874,0,0,0,0
2019-07-17,-0.6531243569450895,0,0,0,0
2019-07-18,0.3581997784064761,0,0,0,0
2019-07-19,-0.617673452276668,0,0,0,0
2019-07-22,0.2828694915066654,0,0,0,0
2019-07-23,0.6847482673755456,0,0,0,0
2019-07-24,0.4688147952890187,0,0,0,0
2019-07-25,-0.5262401280453521,0,0,0,0
2019-07-26,0.7387691099234761,0,0,0,0
2019-07-29,-0.16161146071345112,0,0,0,0
2019-07-30,-0.25786549148275606,0,0,0,0
2019-07-31,-1.0885526112695776,0,0,0,0
2019-08-01,-0.8998793869673061,0,0,0,0
2019-08-02,-0.7282739927037873,0,0,0,0
2019-08-05,-2.97778200029859,0,0,0,0
2019-08-06,1.3017017169932643,0,0,0,0
2019-08-07,0.07668762331907164,0,0,0,0
2019-08-08,1.8762303409984193,0,0,0,0
2019-08-09,-0.661660635492356,0,0,0,0
2019-08-12,-1.2317322177972212,0,0,0,0
2019-08-13,1.5131688322181258,0,0,0,0
2019-08-14,-2.9292752911742603,0,0,0,0
2019-08-15,0.24642680276520945,0,0,0,0
2019-08-16,1.4426124657807904,0,0,0,0
2019-08-19,1.2105865492430645,0,0,0,0
2019-08-20,-0.7914727601131322,0,0,0,0
2019-08-21,0.8246798595579641,0,0,0,0
2019-08-22,-0.05060748601761755,0,0,0,0
2019-08-23,-2.5946336754618105,0,0,0,0
2019-08-26,1.0982987735216332,0,0,0,0
2019-08-27,-0.3203180635808267,0,0,0,0
2019-08-28,0.6545480165679685,0,0,0,0
2019-08-29,1.2687291793508804,0,0,0,0
2019-08-30,0.06427872591217021,0,0,0,0
2019-09-03,-0.689910050906084,0,0,0,0
2019-09-04,1.0842079212828093,0,0,0,0
2019-09-05,1.300981364226672,0,0,0,0
2019-09-06,0.09106051537297599,0,0,0,0
2019-09-09,-0.009401025965849463,0,0,0,0
2019-09-10,0.03223043548219451,0,0,0,0
2019-09-11,0.7229681189480308,0,0,0,0
2019-09-12,0.2879153101061016,0,0,0,0
2019-09-13,-0.07244143620946941,0,0,0,0
2019-09-16,-0.31355866640028207,0,0,0,0
2019-09-17,0.25817523700197853,0,0,0,0
2019-09-18,0.03426919897555614,0,0,0,0
2019-09-19,0.001997472142156731,0,0,0,0
2019-09-20,-0.48955765157830955,0,0,0,0
2019-09-23,-0.009693591923765066,0,0,0,0
2019-09-24,-0.8416371322106486,0,0,0,0
2019-09-25,0.6158571742003405,0,0,0,0
2019-09-26,-0.2428916406865711,0,0,0,0
2019-09-27,-0.5316352490240539,0,0,0,0
2019-09-30,0.5047606675254723,0,0,0,0
2019-10-01,-1.2258373372913245,0,0,0,0
2019-10-02,-1.7903202985502964,0,0,0,0
2019-10-03,0.797191259701524,0,0,0,0
2019-10-04,1.4216897585460186,0,0,0,0
2019-10-07,-0.4478294673592398,0,0,0,0
2019-10-08,-1.5560819201407838,0,0,0,0
2019-10-09,0.9104492549941501,0,0,0,0
2019-10-10,0.6415695380997066,0,0,0,0
2019-10-11,1.0938977513132997,0,0,0,0
2019-10-14,-0.13871187334510982,0,0,0,0
2019-10-15,0.9955676641137279,0,0,0,0
2019-10-16,-0.19995427986508885,0,0,0,0
2019-10-17,0.27628315736780706,0,0,0,0
2019-10-18,-0.39193449495069643,0,0,0,0
2019-10-21,0.6871616056117524,0,0,0,0
2019-10-22,-0.3568666378412577,0,0,0,0
2019-10-23,0.28471487971184484,0,0,0,0
2019-10-24,0.192044635873323,0,0,0,0
2019-10-25,0.4072700506109195,0,0,0,0
2019-10-28,0.5581337868471481,0,0,0,0
2019-10-29,-0.08324053147991117,0,0,0,0
2019-10-30,0.325337015914573,0,0,0,0
2019-10-31,-0.3022860563304697,0,0,0,0
2019-11-01,0.9662312168146059,0,0,0,0
2019-11-04,0.3704089049704651,0,0,0,0
2019-11-05,-0.1185699214361291,0,0,0,0
2019-11-06,0.07024972279667807,0,0,0,0
2019-11-07,0.27300951851503275,0,0,0,0
2019-11-08,0.25606760900243053,0,0,0,0
2019-11-11,-0.19624672514313435,0,0,0,0
2019-11-12,0.15646460846321375,0,0,0,0
2019-11-13,0.07115345908383919,0,0,0,0
2019-11-14,0.08370427393644686,0,0,0,0
2019-11-15,0.7695488006902673,0,0,0,0
2019-11-18,0.05031528617669423,0,0,0,0
2019-11-19,-0.05925944462060739,0,0,0,0
2019-11-20,-0.3756184245747196,0,0,0,0
2019-11-21,-0.15827522106851566,0,0,0,0
2019-11-22,0.21749356911917594,0,0,0,0
2019-11-25,0.7507291353015866,0,0,0,0
2019-11-26,0.21955703874654287,0,0,0,0
2019-11-27,0.4174424362754614,0,0,0,0
2019-11-29,-0.4011219709926239,0,0,0,0
2019-12-02,-0.8631020716408422,0,0,0,0
2019-12-03,-0.663809511563529,0,0,0,0
2019-12-04,0.632356747139462,0,0,0,0
2019-12-05,0.15002511791302187,0,0,0,0
2019-12-06,0.9135724328457329,0,0,0,0
2019-12-09,-0.316282139344648,0,0,0,0
2019-12-10,-0.10969340964486207,0,0,0,0
2019-12-11,0.2908158040315856,0,0,0,0
2019-12-12,0.8575225775086182,0,0,0,0
2019-12-13,0.007258178414493166,0,0,0,0
2019-12-16,0.7147785279833618,0,0,0,0
2019-12-17,0.033529222633799094,0,0,0,0
2019-12-18,-0.043230017186479675,0,0,0,0
2019-12-19,0.4459292004863613,0,0,0,0
2019-12-20,0.4944781081796634,0,0,0,0
2019-12-23,0.08661436002121992,0,0,0,0
2019-12-24,-0.019544819997963092,0,0,0,0
2019-12-26,0.5128166675301138,0,0,0,0
2019-12-27,0.003398471712534601,0,0,0,0
2019-12-30,-0.5780822450430323,0,0,0,0
2019-12-31,0.2946021661910603,0,0,0,0
2020-01-02,0.8378802677341701,0,0,0,0
2020-01-03,-0.7059870562045378,0,0,0,0
2020-01-06,0.35333728907271933,0,0,0,0
2020-01-07,-0.2803238652896223,0,0,0,0
2020-01-08,0.49024513689781557,0,0,0,0
2020-01-09,0.6655262605488987,0,0,0,0
2020-01-10,-0.2855178689662563,0,0,0,0
2020-01-13,0.6976215252569862,0,0,0,0
2020-01-14,-0.1514532772802224,0,0,0,0
2020-01-15,0.18701968845122874,0,0,0,0
2020-01-16,0.8366553026468271,0,0,0,0
2020-01-17,0.3862162248501333,0,0,0,0
2020-01-21,-0.26519776473655776,0,0,0,0
2020-01-22,0.02890760711180551,0,0,0,0
2020-01-23,0.11409766124783616,0,0,0,0
2020-01-24,-0.9042160974207403,0,0,0,0
2020-01-27,-1.5730711659182384,0,0,0,0
2020-01-28,1.0053584595046017,0,0,0,0
2020-01-29,-0.08668741908683941,0,0,0,0
2020-01-30,0.3134358792605374,0,0,0,0
2020-01-31,-1.770582037552626,0,0,0,0
2020-02-03,0.7254613892351713,0,0,0,0
2020-02-04,1.4980414164082134,0,0,0,0
2020-02-05,1.125059589785371,0,0,0,0
2020-02-06,0.3325672876785646,0,0,0,0
2020-02-07,-0.5400853672730133,0,0,0,0
2020-02-10,0.7326397804890528,0,0,0,0
2020-02-11,0.16884725532351208,0,0,0,0
2020-02-12,0.6462646466197652,0,0,0,0
2020-02-13,-0.16304457368023773,0,0,0,0
2020-02-14,0.18435333204338544,0,0,0,0
2020-02-18,-0.2919942636890105,0,0,0,0
2020-02-19,0.4705785881164548,0,0,0,0
2020-02-20,-0.381551976362815,0,0,0,0
2020-02-21,-1.051810302712286,0,0,0,0
2020-02-24,-3.351362667122315,0,0,1,1
2020-02-25,-3.0279995565056117,0,0,0,0
2020-02-26,-0.37785406053220116,0,0,0,0
2020-02-27,-4.416324258407911,1,0,1,2
2020-02-28,-0.8238340444361891,0,0,0,0
2020-03-02,4.603922900611002,1,0,1,2
2020-03-03,-2.8107896121075893,0,0,0,0
2020-03-04,4.220259077449118,0,0,1,1
2020-03-05,-3.3922077046888544,0,0,1,1
2020-03-06,-1.7053852000370129,0,0,0,0
2020-03-09,-7.5969697477450975,1,1,1,3
2020-03-10,4.939630628156144,1,0,1,2
2020-03-11,-4.886844513127397,1,1,1,3
2020-03-12,-9.511268097833659,1,1,1,3
2020-03-13,9.287124972971839,1,1,1,3
2020-03-16,-11.984055240393443,1,1,1,3
2020-03-17,5.995484974402432,1,1,1,3
2020-03-18,-5.1830762729157875,1,1,1,3
2020-03-19,0.47078080405855705,0,1,0,1
2020-03-20,-4.335951230846192,1,1,1,3
2020-03-23,-2.929386782180443,0,1,0,1
2020-03-24,9.382773976227554,1,1,1,3
2020-03-25,1.1535011448222,0,1,0,1
2020-03-26,6.2414163303876835,1,1,1,3
2020-03-27,-3.3687352562252526,0,1,1,2
2020-03-30,3.351600948370015,0,1,1,2
2020-03-31,-1.6012721914555605,0,1,0,1
2020-04-01,-4.414243033166542,1,1,1,3
2020-04-02,2.282934723487151,0,1,0,1
2020-04-03,-1.5137125124949469,0,1,0,1
2020-04-06,7.033131865275055,1,1,1,3
2020-04-07,-0.16030527844311804,0,1,0,1
